date,extent_pct,invalid_pct,n_water,n_valid,n_aoi
2005-01-01,0.0296315884538331,1.609088860547181,251,847069,860922
2005-02-01,0.0300277579431695,1.7467319919806903,254,845884,860922
2005-03-01,0.0275268593625582,1.6814531397734058,233,846446,860922
2005-04-01,0.0267977829851785,1.607230387886475,227,847085,860922
2005-05-01,0.0274719768150664,1.485035810445081,233,848137,860922
2005-06-01,0.0272257010618023,6.566796992061999,219,804387,860922
2005-07-01,0.0871358075631318,9.354041364955243,680,780391,860922
2005-08-01,0.0696077108296813,1.8803097144689065,588,844734,860922
2005-09-01,0.0798976727832639,4.195153567919045,659,824805,860922
2005-10-01,0.1047313003540428,9.056104966535877,820,782956,860922
2005-11-01,0.266661930220304,1.9057475590123147,2252,844515,860922
2005-12-01,0.0905836009571288,8.059731311315078,717,791534,860922
2006-01-01,0.086374406253856,6.806772274375612,693,802321,860922
2006-02-01,0.0691863916872254,1.786456845103273,585,845542,860922
2006-03-01,0.061053167133045,6.396282125442259,492,805855,860922
2006-04-01,0.0536849262423507,1.7710082911111575,454,845675,860922
2006-05-01,0.0500433590806218,1.8183993439591508,423,845267,860922
2006-06-01,0.0559973386465691,1.8862335960749057,473,844683,860922
2006-07-01,0.0689190449047701,1.5740101890763625,584,847371,860922
2006-08-01,0.0731096893369695,1.6550860588996448,619,846673,860922
2006-09-01,0.065963216640699,1.7418535012463383,558,845926,860922
2006-10-01,0.0580974333003601,1.8340802070338544,491,845132,860922
2006-11-01,0.063601499955077,1.7458027556503375,538,845892,860922
2006-12-01,0.0346425784482962,1.758812064275277,293,845780,860922
2007-01-01,0.0297003472564601,2.227960256562151,250,841741,860922
2007-02-01,0.0246225819855034,1.8781027781843187,208,844753,860922
2007-03-01,0.0253127852144812,2.259205828170264,213,841472,860922
2007-04-01,0.0223262802763261,1.6709992310569366,189,846536,860922
2007-05-01,0.0223354093052387,1.7111887023446957,189,846190,860922
2007-06-01,0.0640967382413577,2.8673910063861765,536,836236,860922
2007-07-01,0.0615523700066842,3.3812586970712792,512,831812,860922
2007-08-01,0.045792205149079,1.8352417524467957,387,845122,860922
2007-09-01,0.0416126313250904,1.745221982943867,352,845897,860922
2007-10-01,0.0387297127960839,1.9292107763537232,327,844313,860922
2007-11-01,0.035993902489896,2.5427390634691647,302,839031,860922
2007-12-01,0.0365189862808345,2.989817892910159,305,835182,860922
2008-01-01,0.0759262829117374,1.7847145269838616,642,845557,860922
2008-02-01,0.0720318702330975,2.441103839836826,605,839906,860922
2008-03-01,0.0622277535780958,1.629996677980119,527,846889,860922
2008-04-01,0.0690588854775463,2.2779067093186143,581,841311,860922
2008-05-01,0.0569470585396457,3.7264699937973473,472,828840,860922
2008-06-01,0.0584439710173564,16.52704890803116,420,718637,860922
2008-07-01,0.1168049901351225,42.422426189596735,579,495698,860922
2008-08-01,0.0576447176143164,5.093144326663739,471,817074,860922
2008-09-01,0.056596840265757,1.6941139847744626,479,846337,860922
2008-10-01,0.0522656814943689,2.659474377469736,438,838026,860922
2008-11-01,0.0428420140560315,3.4802223662538534,356,830960,860922
2008-12-01,0.0401544766336376,1.648465250045881,340,846730,860922
2009-01-01,0.0346068578272326,1.6574091497255268,293,846653,860922
2009-02-01,0.0304958723777406,2.1122703334332265,257,842737,860922
2009-03-01,0.0280317788115235,1.7949361266177424,237,845469,860922
2009-04-01,0.0275204868173324,1.658686849679762,233,846642,860922
2009-05-01,0.0250793192621001,1.812475462353152,212,845318,860922
2009-06-01,0.033194855047053,6.92199757933936,266,801329,860922
2009-07-01,0.0600242978357639,27.4327987901343,375,624747,860922
2009-08-01,0.0327783577330202,2.1956692940823905,276,842019,860922
2009-09-01,0.0286031723518426,1.726288792712929,242,846060,860922
2009-10-01,0.0310536750830088,2.748448756101017,260,837260,860922
2009-11-01,0.0436388923053634,1.7825075906992736,369,845576,860922
2009-12-01,0.0206968904706282,2.3481802068015454,174,840706,860922
2010-01-01,0.022675201360512,1.64730370463294,192,846740,860922
2010-02-01,0.1023529011334185,4.446163531655597,842,822644,860922
2010-03-01,0.0618974778556437,2.043390690445825,522,843330,860922
2010-04-01,0.0573366315548056,14.91494002941033,420,732516,860922
2010-05-01,0.0512359777592558,3.4236551046436263,426,831447,860922
2010-06-01,0.0352477130948051,16.95647224719545,252,714940,860922
2010-07-01,0.1035143009135761,39.51821419362033,539,520701,860922
2010-08-01,0.190003550932979,18.876739123869527,1327,698408,860922
2010-09-01,0.2754007457689105,5.98846353095867,2229,809366,860922
2010-10-01,0.2914187686517516,2.2276117929382684,2453,841744,860922
2010-11-01,0.4908096049485922,1.904818322681962,4145,844523,860922
2010-12-01,0.4917174167751424,1.75521127349516,4159,845811,860922
2011-01-01,0.377646538909646,1.699108630050109,3196,846294,860922
2011-02-01,0.3937168562124468,20.314964654173085,2701,686026,860922
