catchment,hy_year,left_peak,right_peak,is_nine_daly_example,baseline_boundary,baseline_support,baseline_support_width_months,baseline_status,baseline_reason,candidate_boundary,candidate_support,candidate_support_width_months,candidate_status,candidate_reason,dates_agree
fitzroy_river_wa,2020,2020-03,2021-03,False,2020-10,2020-10,0,confirmed,accepted,2020-10,"2020-09,2020-10,2020-11",2,provisional,recovery_within_noise,True
fitzroy_river_wa,2021,2021-03,2022-02,False,2021-10,2021-10,0,confirmed,accepted,2021-10,"2021-09,2021-10,2021-11,2021-12,2022-01",4,provisional,recovery_within_noise,True
fitzroy_river_wa,2022,2022-02,2023-01,False,2022-11,2022-11,0,confirmed,accepted,2022-11,"2022-07,2022-08,2022-09,2022-10,2022-11",4,confirmed,accepted,True
fitzroy_river_wa,2023,2023-01,2024-03,False,2024-01,2024-01,0,confirmed,accepted,2024-01,"2023-09,2023-10,2023-11,2023-12,2024-01",4,confirmed,accepted,True
fitzroy_river_wa,2024,2024-03,2025-02,False,2024-11,2024-11,0,provisional,interval_peak,2024-11,"2024-08,2024-09,2024-10,2024-11",3,provisional,interval_peak,True
gilbert_river_qld,2005,2005-01,2006-02,False,2005-12,"2005-11,2005-12",1,provisional,essential_low_quality_recovery,2005-11,"2005-10,2005-11,2005-12",2,provisional,essential_low_quality_recovery,False
gilbert_river_qld,2006,2006-02,2007-02,False,,2006-10,0,unresolved,unstable_quality_sensitivity,2006-12,"2006-10,2006-11,2006-12",2,provisional,low_quality_peak,False
gilbert_river_qld,2007,2007-02,2008-01,False,,2007-10,0,unresolved,unstable_quality_sensitivity,,"2007-08,2007-09,2007-10,2007-11,2007-12",4,unresolved,unstable_quality_sensitivity,True
gilbert_river_qld,2008,2008-01,2009-01,False,2008-11,2008-11,0,provisional,low_quality_peak,2008-11,"2008-06,2008-07,2008-08,2008-09,2008-10,2008-11",5,provisional,low_quality_peak,True
gilbert_river_qld,2009,2009-01,2010-02,False,2009-11,2009-11,0,provisional,low_quality_peak,2009-11,"2009-10,2009-11,2009-12",2,provisional,low_quality_peak,True
gilbert_river_qld,2010,2010-02,2011-02,False,2010-12,"2010-09,2010-10,2010-11,2010-12",3,provisional,essential_low_quality_recovery,2010-10,"2010-07,2010-08,2010-09,2010-10,2010-11,2010-12",5,provisional,essential_low_quality_recovery,False
gilbert_river_qld,2011,2011-02,2012-03,False,,2011-11,0,unresolved,unstable_quality_sensitivity,,2011-11,0,unresolved,unstable_quality_sensitivity,True
gilbert_river_qld,2012,2012-03,2013-01,False,2012-11,2012-11,0,provisional,low_quality_peak,2012-11,2012-11,0,provisional,low_quality_peak,True
gilbert_river_qld,2013,2013-01,2014-02,False,,2013-11,0,unresolved,unstable_quality_sensitivity,2013-11,2013-11,0,provisional,essential_low_quality_recovery,False
gilbert_river_qld,2014,2014-02,2015-01,False,2014-11,2014-11,0,confirmed,accepted,2014-11,2014-11,0,confirmed,accepted,True
gilbert_river_qld,2015,2015-01,2016-03,False,2015-11,2015-11,0,confirmed,accepted,2015-11,"2015-06,2015-07,2015-08,2015-09,2015-10,2015-11",5,confirmed,accepted,True
gilbert_river_qld,2016,2016-03,2017-01,False,2016-11,2016-11,0,provisional,essential_low_quality_recovery,2016-11,"2016-10,2016-11",1,provisional,essential_low_quality_recovery,True
gilbert_river_qld,2017,2017-01,2018-03,False,2017-11,2017-11,0,confirmed,accepted,2017-11,"2017-07,2017-08,2017-09,2017-10,2017-11",4,confirmed,accepted,True
gilbert_river_qld,2018,2018-03,2019-02,False,2018-11,2018-11,0,confirmed,accepted,2018-11,2018-11,0,confirmed,accepted,True
gilbert_river_qld,2019,2019-02,2020-02,False,2019-11,2019-11,0,confirmed,accepted,2019-11,"2019-11,2019-12",1,provisional,recovery_within_noise,True
gilbert_river_qld,2020,2020-02,2021-01,False,2020-10,2020-10,0,confirmed,accepted,2020-11,"2020-10,2020-11",1,confirmed,accepted,False
gilbert_river_qld,2021,2021-01,2022-01,False,2021-10,2021-10,0,confirmed,accepted,2021-10,"2021-08,2021-09,2021-10",2,confirmed,accepted,True
gilbert_river_qld,2022,2022-01,2023-01,False,2022-11,2022-11,0,provisional,essential_low_quality_recovery,2022-11,"2022-08,2022-09,2022-10,2022-11",3,provisional,essential_low_quality_recovery,True
gilbert_river_qld,2023,2023-01,2024-02,False,,2023-11,0,unresolved,unstable_quality_sensitivity,2023-11,"2023-09,2023-10,2023-11,2023-12",3,provisional,low_quality_peak,False
gilbert_river_qld,2024,2024-02,2025-02,False,2024-11,2024-11,0,provisional,low_quality_peak,2024-11,"2024-09,2024-10,2024-11",2,provisional,low_quality_peak,True
