date,extent_pct,invalid_pct,max_invalid_pct,baseline_extent_pct,usable_month,quality_state,hy_year,confidence,phase,phase_status,is_hy_peak,is_hy_mid_dry,is_hy_trough,in_wet_event,wet_event_id,in_low_spell,low_spell_id,regime,route
2008-06-01,0.09114808621998434,8.008536019522783,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2008-07-01,0.05469582835849356,8.323310896418572,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2008-08-01,0.03886374012286143,2.6874239483970324,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,4,seasonal,event_characterisation
2008-09-01,0.037924625728711164,2.7263753923956555,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,4,seasonal,event_characterisation
2008-10-01,0.02939858391687171,2.705800831218191,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,4,seasonal,event_characterisation
2008-11-01,0.02588417800145318,2.7173811902337395,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,4,seasonal,event_characterisation
2008-12-01,0.037718016206064124,3.7335632435409067,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,4,seasonal,event_characterisation
2009-01-01,0.18742913836309952,4.325615572852427,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,4,False,,seasonal,event_characterisation
2009-02-01,1.1336072465770066,6.7113175218638474,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,4,False,,seasonal,event_characterisation
2009-03-01,0.24907304306228864,2.6882712015007257,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,4,False,,seasonal,event_characterisation
2009-04-01,0.1446748995094581,2.688988961771977,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,4,False,,seasonal,event_characterisation
2009-05-01,0.09241036137855858,2.7911736057497483,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,4,False,,seasonal,event_characterisation
2009-06-01,0.04624406089431407,3.3049345685666953,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2009-07-01,0.059753762627464936,2.70925274015158,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2009-08-01,0.05859605049236727,2.6875645406151123,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2009-09-01,0.0387785667793041,2.693125332819703,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,5,seasonal,event_characterisation
2009-10-01,0.03848100118002825,2.7290688433104537,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,5,seasonal,event_characterisation
2009-11-01,0.029441128446552146,2.6955967960217433,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,5,seasonal,event_characterisation
2009-12-01,0.05067096317208246,4.92575935429398,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-01-01,0.1591440046736332,9.165036506064354,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,5,False,,seasonal,event_characterisation
2010-02-01,0.11600538449990208,2.7286063689088746,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,5,False,,seasonal,event_characterisation
2010-03-01,0.09687679933831639,8.460650994506803,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,5,False,,seasonal,event_characterisation
2010-04-01,0.07768133862401433,2.8153702664403824,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-05-01,0.06332968478052685,7.79968627956474,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-06-01,0.049734580762840416,4.281358622518885,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-07-01,0.06537421950570528,12.720576703358892,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-08-01,0.04385285875267,9.405219811678204,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,True,6,seasonal,event_characterisation
2010-09-01,0.03677415360225788,32.05902890069132,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,False,,True,6,seasonal,event_characterisation
2010-10-01,0.1011340517293591,29.749509434903267,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-11-01,0.053305210453942424,2.808314756969887,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2010-12-01,0.04439199067581755,2.762840574011388,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2011-01-01,0.2345133745519154,6.560650761419705,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-02-01,0.5264539144838285,26.88873898140864,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-03-01,3.683829804259456,61.80889721573021,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-04-01,0.4044848682543924,4.045034203311812,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-05-01,0.18631650277990291,4.169295525323378,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-06-01,0.12928119412684008,2.7095635229494412,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-07-01,0.12116460406916095,9.991152679708026,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-08-01,0.0961435605384131,3.086964833409506,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,6,False,,seasonal,event_characterisation
2011-09-01,0.051924212526273945,3.6007923925402805,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2011-10-01,0.06612083668801369,14.931526225091915,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2011-11-01,0.06610804466086954,7.79620477226965,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2011-12-01,0.08490672973060082,15.168546205798963,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2012-01-01,0.18884702403537035,28.065913923598416,20.0,0.07013,True,low,,,unspecified,disabled,False,False,False,True,7,False,,seasonal,event_characterisation
2012-02-01,0.12810343468147378,10.141575253668135,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,7,False,,seasonal,event_characterisation
2012-03-01,0.28113796168198146,19.778846221082816,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,7,False,,seasonal,event_characterisation
2012-04-01,0.1667340132900425,6.818352597365383,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,True,7,False,,seasonal,event_characterisation
2012-05-01,0.08448354361530164,9.190653888116639,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2012-06-01,0.06865841450075941,7.384432364284205,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2012-07-01,0.06570172411167799,6.938795730717509,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
2012-08-01,0.05644655874657224,4.369702332606188,20.0,0.07013,True,usable,,,unspecified,disabled,False,False,False,False,,False,,seasonal,event_characterisation
