hy_year,status,status_reason,hy_start,hy_end,cycle_months,peak_month,peak_extent_pct,peak_invalid_pct,temporal_mid_dry_month,temporal_mid_dry_extent_pct,temporal_mid_dry_invalid_pct,mid_dry_invalid_pct,half_loss_month,half_loss_extent_pct,half_loss_target_pct,trough_month,trough_extent_pct,trough_invalid_pct,boundary_status,drawdown_pct,persistence_ratio,recession_months,half_loss_months,n_rewetting_pulses,n_usable_months,confidence,secondary_peak_month,secondary_peak_extent_pct,secondary_trough_month,secondary_trough_extent_pct,raw_trough_month,raw_trough_extent_pct,low_run_start_month,low_run_end_month,window_status,selection_status,selection_support,selection_quality,window_n_expected,window_n_usable,phase_shift_months,raw_peak_month,raw_peak_extent_pct,peak_selection_status,peak_selection_support,peak_quality,detectability_floor_pp,amplitude_to_floor_ratio,peak_n_water,peak_timing_status,peak_interval_start,peak_interval_end,trough_timing_status,trough_interval_start,trough_interval_end,timing_status,trough_search_radius_used,boundary_at_search_edge,boundary_search_edge_side,outside_window_observed,outside_window_lower,retry_outcome,pass1_trough_month,pass1_trough_interval_start,pass1_trough_interval_end,pass1_trough_timing_status,trough_challenger_month,trough_challenger_interval_start,trough_challenger_interval_end,trough_challenger_timing_status,trough_challenger_low_state_start,trough_challenger_low_state_end,trough_refinement_status,trough_refinement_reason,trough_refinement_applied,recovery_start_month,trough_local_scale_pp,trough_profile_best_loss,trough_profile_cutoff,trough_effective_support,trough_pulse_months,trough_refinement_policy_version,baseline_mode,baseline_n,baseline_uncertain,peak_percentile,trough_percentile,recharge_condition,refuge_condition,annual_condition,peak_change_from_previous_pct,trough_change_from_previous_pct,consecutive_dry_cycles,consecutive_wet_cycles,noise_floor_pp,recharge_condition_qualified,refuge_condition_qualified,annual_condition_qualified,timing_confidence,boundary_basis,catchment,regime,route
2015,partial,boundary_provisional,2014-12-01,2015-10-01,11,2015-01-01,0.3184574854410838,30.107327835043378,2015-06-01,0.06995579420974814,2.7897987306493186,2.7897987306493186,2015-03-01,0.16426650784362865,0.1762471337488513,2015-10-01,0.034036782056618774,2.782783984635226,provisional,0.28442070338446507,0.10688014448608633,9,2,0,11,medium,,,,,2015-10-01,0.034036782056618774,2015-10-01,2015-10-01,full,raw,1.0,1.0,7,7,-1,2015-01-01,0.3184574854410838,low_quality,1.0,normal,0.01482534381733716,19.184762720433895,240514,point,2015-01-01,2015-01-01,point,2015-10-01,2015-10-01,point,3,False,none,True,False,not_attempted,2015-10-01,2015-07-01,2015-10-01,broad,2015-10-01 00:00:00,2015-10-01 00:00:00,2015-10-01 00:00:00,point,2015-10-01 00:00:00,2015-10-01 00:00:00,provisional,interval_peak,True,2015-11-01 00:00:00,9.536447160110636e-07,1581.7591586820126,0.05,13.283218630513911,(),trough_refinement_candidate_0_1,full,0,False,12.5,25.0,low,typical,typical_or_mixed,-0.4984404104895049,0.005126448850041158,0,0,0.01482534381733716,low,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2016,partial,boundary_provisional,2015-11-01,2016-11-01,13,2016-02-01,0.13229574664402893,4.870893414524978,2016-07-01,0.04929307733604145,2.7863505850492514,2.7863505850492514,2016-04-01,0.06743374828197925,0.0815446856763413,2016-11-01,0.03079362470865367,2.7918864967453336,provisional,0.10150212193537526,0.2327635278518118,9,2,1,13,medium,2016-05-01 00:00:00,0.08846052505358737,,,2016-11-01,0.03079362470865367,2016-11-01,2016-11-01,full,raw,1.0,1.0,7,7,0,2016-02-01,0.13229574664402893,raw,1.0,normal,0.01482534381733716,6.846527351134746,135993,interval,2016-02-01,2016-03-01,point,2016-11-01,2016-11-01,interval,3,False,none,True,False,not_attempted,2016-11-01,2016-09-01,2016-11-01,interval,2016-11-01 00:00:00,2016-11-01 00:00:00,2016-11-01 00:00:00,point,2016-11-01 00:00:00,2016-11-01 00:00:00,provisional,interval_peak,True,2016-12-01 00:00:00,9.521129371230234e-07,29185.631337240193,0.05,11.384001226303463,"(Timestamp('2016-05-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,12.5,25.0,low,typical,typical_or_mixed,-0.1861617387970549,-0.0032431573479651046,0,0,0.01482534381733716,low,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2017,complete,ok,2016-12-01,2017-11-01,12,2017-02-01,2.371210516188255,15.264252978319567,2017-07-01,0.11354848664995568,2.795732576486042,2.795732576486042,2017-03-01,0.6002876705158956,1.2075781499558387,2017-11-01,0.04394578372342267,2.87019993562351,confirmed,2.3272647324648323,0.01853305871553993,9,1,0,12,high,,,,,2017-11-01,0.04394578372342267,2017-11-01,2017-11-01,full,raw,1.0,1.0,7,7,0,2017-02-01,2.371210516188255,ambiguous,0.6,normal,0.01482534381733716,156.9788034017306,2171171,point,2017-02-01,2017-02-01,point,2017-11-01,2017-11-01,point,3,False,none,True,False,not_attempted,2017-11-01,2017-10-01,2017-11-01,interval,2017-11-01 00:00:00,2017-11-01 00:00:00,2017-11-01 00:00:00,point,2017-11-01 00:00:00,2017-11-01 00:00:00,confirmed,accepted,True,2017-12-01 00:00:00,9.537127259143977e-07,0.0,0.05,12.290762971343504,(),trough_refinement_candidate_0_1,full,0,False,100.0,71.42857142857143,high,typical,typical_or_mixed,2.238914769544226,0.013152159014769002,0,0,0.01482534381733716,high,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2018,complete,ok,2017-12-01,2018-11-01,12,2018-02-01,0.7345733078681227,7.551701685765623,2018-07-01,0.07886425497133179,2.7789527117462627,2.7789527117462627,2018-03-01,0.22224911608072465,0.384839587692382,2018-11-01,0.03510586751664133,2.8989983368388863,confirmed,0.6994674403514813,0.04779082923462808,9,1,0,12,high,,,,,2018-11-01,0.03510586751664133,2018-11-01,2018-11-01,full,raw,1.0,1.0,7,7,0,2018-02-01,0.7345733078681227,ambiguous,0.6,normal,0.01482534381733716,47.180520665801026,733823,point,2018-02-01,2018-02-01,point,2018-11-01,2018-11-01,point,3,False,none,True,False,not_attempted,2018-11-01,2018-10-01,2018-11-01,interval,2018-11-01 00:00:00,2018-11-01 00:00:00,2018-11-01 00:00:00,point,2018-11-01 00:00:00,2018-11-01 00:00:00,confirmed,accepted,True,2018-12-01 00:00:00,9.519544677131838e-07,0.0,0.05,12.570400685068611,(),trough_refinement_candidate_0_1,full,0,False,42.857142857142854,42.857142857142854,typical,typical,typical_or_mixed,-1.6366372083201322,-0.008839916206781338,0,0,0.01482534381733716,typical,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2019,complete,ok,2018-12-01,2019-12-01,13,2019-02-01,0.0884686636484982,4.158622767337292,2019-07-01,0.04424456644447522,2.802415093764111,2.802415093764111,2019-05-01,0.045011236246815245,0.05896621753298792,2019-12-01,0.029463771417477642,3.291622370273054,confirmed,0.05900489223102056,0.3330418953149611,10,3,2,13,high,2019-06-01 00:00:00,0.04725107478769511,,,2019-12-01,0.029463771417477642,2019-12-01,2019-12-01,full,raw,1.0,1.0,7,7,1,2019-02-01,0.0884686636484982,raw,1.0,normal,0.01482534381733716,3.9800016079234966,91622,point,2019-02-01,2019-02-01,point,2019-12-01,2019-12-01,point,3,False,none,True,False,not_attempted,2019-12-01,2019-07-01,2019-12-01,broad,2019-12-01 00:00:00,2019-12-01 00:00:00,2019-12-01 00:00:00,point,2019-12-01 00:00:00,2019-12-01 00:00:00,confirmed,accepted,True,2020-01-01 00:00:00,9.524980591055259e-07,3924.998925349473,0.05,13.516966930803006,"(Timestamp('2019-06-01 00:00:00'), Timestamp('2019-09-01 00:00:00'))",trough_refinement_candidate_0_1,full,0,False,0.0,14.285714285714286,low,low,dry_low_refuge,-0.6461046442196245,-0.00564209609916369,1,0,0.01482534381733716,low,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2020,complete,ok,2020-01-01,2020-10-01,10,2020-03-01,0.38111378863008993,2.804898017716065,2020-06-01,0.09955959400920353,2.797105911985371,2.797105911985371,2020-04-01,0.17301406298968378,0.20785782586158652,2020-10-01,0.0346018630930831,2.8967810107901046,confirmed,0.3465119255370068,0.09079142273350745,7,1,0,10,high,,,,,2020-10-01,0.0346018630930831,2020-10-01,2020-10-01,full,raw,1.0,1.0,7,7,-1,2020-03-01,0.38111378863008993,ambiguous,0.6,normal,0.01482534381733716,23.372943643424065,400273,point,2020-03-01,2020-03-01,point,2020-10-01,2020-10-01,point,3,False,none,True,False,not_attempted,2020-10-01,2020-09-01,2020-10-01,interval,2020-10-01 00:00:00,2020-10-01 00:00:00,2020-10-01 00:00:00,point,2020-10-01 00:00:00,2020-10-01 00:00:00,confirmed,accepted,True,2020-11-01 00:00:00,9.521346396836406e-07,187753.38842139856,0.05,12.346076362895284,(),trough_refinement_candidate_0_1,full,0,False,14.285714285714286,28.571428571428573,low,typical,typical_or_mixed,0.29264512498159173,0.005138091675605458,0,0,0.01482534381733716,low,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2021,complete,ok,2020-11-01,2021-10-01,12,2021-03-01,1.019775668890236,4.034396057483234,2021-06-01,0.10894774675056712,2.791075821612307,2.791075821612307,2021-04-01,0.2530000633813861,0.5327333961825849,2021-10-01,0.04569112347493372,2.76659917024994,confirmed,0.9740845454153022,0.04480507318306268,7,1,0,12,high,,,,,2021-10-01,0.04569112347493372,2021-10-01,2021-10-01,full,raw,1.0,1.0,7,7,-1,2021-03-01,1.019775668890236,raw,1.0,normal,0.01482534381733716,65.7040104713242,1057493,point,2021-03-01,2021-03-01,point,2021-10-01,2021-10-01,point,3,False,none,True,False,not_attempted,2021-10-01,2021-09-01,2021-10-01,interval,2021-10-01 00:00:00,2021-10-01 00:00:00,2021-10-01 00:00:00,point,2021-10-01 00:00:00,2021-10-01 00:00:00,confirmed,accepted,True,2021-11-01 00:00:00,9.519173069606923e-07,9326.137183984647,0.05,11.634659645356283,(),trough_refinement_candidate_0_1,full,0,False,57.142857142857146,85.71428571428571,typical,high,typical_or_mixed,0.638661880260146,0.011089260381850617,0,0,0.01482534381733716,typical,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2022,complete,ok,2021-11-01,2022-11-01,13,2022-02-01,0.5547306317223554,2.8235565017709643,2022-07-01,0.06422799761672403,2.857984282934061,2.857984282934061,2022-03-01,0.2734172325433451,0.3002249808113395,2022-11-01,0.04571932990032367,2.8205146191656447,confirmed,0.5090113018220317,0.08241717202162067,9,1,1,13,high,2022-10-01 00:00:00,0.05479965553141843,,,2022-11-01,0.04571932990032367,2022-11-01,2022-11-01,full,raw,1.0,1.0,7,7,0,2022-02-01,0.5547306317223554,ambiguous,0.6,normal,0.01482534381733716,34.333861534245166,582506,point,2022-02-01,2022-02-01,point,2022-11-01,2022-11-01,point,3,False,none,True,False,not_attempted,2022-11-01,2022-08-01,2022-11-01,broad,2022-11-01 00:00:00,2022-11-01 00:00:00,2022-11-01 00:00:00,point,2022-11-01 00:00:00,2022-11-01 00:00:00,confirmed,accepted,True,2022-12-01 00:00:00,9.523135694095357e-07,10365.595115029722,0.05,11.556984279991202,"(Timestamp('2022-10-01 00:00:00'),)",trough_refinement_candidate_0_1,full,0,False,28.571428571428573,100.0,typical,high,typical_or_mixed,-0.4650450371678806,2.820642538995527e-05,0,0,0.01482534381733716,typical,typical_uncertain,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2023,complete,ok,2022-12-01,2024-01-01,14,2023-01-01,1.3609078307255107,7.066092474230664,2023-07-01,0.14426318666820442,2.819993603069875,2.819993603069875,2023-03-01,0.4208426881308849,0.7011541286113676,2024-01-01,0.04140042649722447,5.464232652213834,confirmed,1.3195074042282862,0.030421183244388837,12,2,0,14,high,,,,,2024-01-01,0.04140042649722447,2024-01-01,2024-01-01,full,raw,1.0,1.0,7,7,2,2023-01-01,1.3609078307255107,ambiguous,0.6,normal,0.01482534381733716,89.00349431931679,1366659,point,2023-01-01,2023-01-01,point,2024-01-01,2024-01-01,point,3,False,none,True,False,not_attempted,2024-01-01,2023-10-01,2024-01-01,broad,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-01-01 00:00:00,point,2024-01-01 00:00:00,2024-01-01 00:00:00,confirmed,accepted,True,2024-02-01 00:00:00,9.526487374046143e-07,23031.844062171993,0.05,14.489083972451038,(),trough_refinement_candidate_0_1,full,0,False,85.71428571428571,57.142857142857146,high,typical,typical_or_mixed,0.8061771990031553,-0.004318903403099206,0,0,0.01482534381733716,high,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
2024,partial,boundary_provisional,2024-02-01,2024-11-01,10,2024-03-01,0.443090654337045,2.948496716793474,2024-07-01,0.07413177553729873,2.816758305963639,2.816758305963639,2024-04-01,0.1665576358408379,0.2401754804575279,2024-11-01,0.037260306578010834,5.816222982747371,provisional,0.40583034775903415,0.08409183586541662,8,1,0,10,medium,,,,,2024-11-01,0.037260306578010834,2024-11-01,2024-11-01,full,raw,1.0,1.0,7,7,0,2024-03-01,0.443090654337045,ambiguous,0.6,normal,0.01482534381733716,27.374093495521173,464678,point,2024-03-01,2024-03-01,point,2024-11-01,2024-11-01,point,3,False,none,True,False,not_attempted,2024-11-01,2024-09-01,2024-11-01,interval,2024-11-01 00:00:00,2024-11-01 00:00:00,2024-11-01 00:00:00,point,2024-11-01 00:00:00,2024-11-01 00:00:00,provisional,interval_peak,True,2024-12-01 00:00:00,9.522936406582988e-07,0.0,0.05,10.63101061704945,(),trough_refinement_candidate_0_1,full,0,False,25.0,50.0,typical,typical,typical_or_mixed,-0.9178171763884657,-0.004140119919213633,0,0,0.01482534381733716,typical,typical,typical_or_mixed,high,detected_per_year,fitzroy_river_wa,seasonal,per_year_detection
