date,rainfall_mm
2005-01-16 12:00:00,23.886041473227923
2005-02-15 00:00:00,41.61773444753928
2005-03-16 12:00:00,9.9036830702567
2005-04-16 00:00:00,4.789445991952775
2005-05-16 12:00:00,1.3942742185080357
2005-06-16 00:00:00,85.37335190343528
2005-07-16 12:00:00,60.36592386258106
2005-08-16 12:00:00,52.45852677189706
2005-09-16 00:00:00,84.17168059424309
2005-10-16 12:00:00,55.5942432683378
2005-11-16 00:00:00,64.20817084493946
2005-12-16 12:00:00,22.861993190962373
2006-01-16 12:00:00,39.01844630145448
2006-02-15 00:00:00,9.569359331476155
2006-03-16 12:00:00,10.875766016712916
2006-04-16 00:00:00,8.516341689879114
2006-05-16 12:00:00,3.996162178891813
2006-06-16 00:00:00,46.33655215103664
2006-07-16 12:00:00,49.54478489631674
2006-08-16 12:00:00,8.285670071185205
2006-09-16 00:00:00,17.7844630145464
2006-10-16 12:00:00,0.241535128443166
2006-11-16 00:00:00,14.006128133704554
2006-12-16 12:00:00,15.513525224388555
2007-01-16 12:00:00,28.825502940265984
2007-02-15 00:00:00,34.613184772516064
2007-03-16 12:00:00,32.45075827917035
2007-04-16 00:00:00,27.62414113277605
2007-05-16 12:00:00,47.26830702568847
2007-06-16 00:00:00,51.528040854224514
2007-07-16 12:00:00,30.26019808108926
2007-08-16 12:00:00,13.403342618384215
2007-09-16 00:00:00,4.865335809346782
2007-10-16 12:00:00,14.91454658000601
2007-11-16 00:00:00,77.24707520891347
2007-12-16 12:00:00,100.89319096255012
2008-01-16 12:00:00,45.57573506654269
2008-02-15 12:00:00,48.76289074589892
2008-03-16 12:00:00,23.636923553079363
2008-04-16 00:00:00,20.35496750232108
2008-05-16 12:00:00,9.988734138037572
2008-06-16 00:00:00,35.31686784277295
2008-07-16 12:00:00,40.95317239244798
2008-08-16 12:00:00,30.83203342618366
2008-09-16 00:00:00,37.35078922934058
2008-10-16 12:00:00,37.19028164654888
2008-11-16 00:00:00,61.485112968121136
2008-12-16 12:00:00,47.1903125967191
2009-01-16 12:00:00,19.89640978025361
2009-02-15 00:00:00,23.85601980810876
2009-03-16 12:00:00,29.92231507273272
2009-04-16 00:00:00,47.40603528319387
2009-05-16 12:00:00,12.084370164035724
2009-06-16 00:00:00,72.82448158464854
2009-07-16 12:00:00,33.4504487774681
2009-08-16 12:00:00,14.574373259052736
2009-09-16 00:00:00,24.450108325595608
2009-10-16 12:00:00,27.013184772516063
2009-11-16 00:00:00,27.21562983596392
2009-12-16 12:00:00,76.64692045806234
2010-01-16 12:00:00,12.820427112348936
2010-02-15 00:00:00,119.5213246672855
2010-03-16 12:00:00,61.18248220365193
2010-04-16 00:00:00,38.57653977096856
2010-05-16 12:00:00,53.16598576292152
2010-06-16 00:00:00,24.88514391829137
2010-07-16 12:00:00,66.45462705044861
2010-08-16 12:00:00,63.23042401733191
2010-09-16 00:00:00,59.75759826679028
2010-10-16 12:00:00,98.42940266171446
2010-11-16 00:00:00,93.12776230269247
2010-12-16 12:00:00,119.75301764159686
2011-01-16 12:00:00,40.94815846487138
2011-02-15 00:00:00,108.46075518415334
2011-03-16 12:00:00,74.84599195295556
2011-04-16 00:00:00,27.18177034973674
2011-05-16 12:00:00,33.486103373568376
2011-06-16 00:00:00,14.791829155060164
2011-07-16 12:00:00,21.68437016403572
2011-08-16 12:00:00,52.20603528319387
2011-09-16 00:00:00,28.06889507892275
2011-10-16 12:00:00,34.75954812751452
2011-11-16 00:00:00,95.70943980191872
2011-12-16 12:00:00,69.79538842463616
2012-01-16 12:00:00,52.15400804704407
2012-02-15 12:00:00,125.53296193129044
2012-03-16 12:00:00,154.59312906220964
2012-04-16 00:00:00,13.969947384710434
2012-05-16 12:00:00,30.451810584958032
2012-06-16 00:00:00,37.78616527390882
2012-07-16 12:00:00,41.31999380996577
2012-08-16 12:00:00,28.444475394614493
2012-09-16 00:00:00,26.21315382234584
2012-10-16 12:00:00,15.0787372330546
2012-11-16 00:00:00,36.54410399257178
2012-12-16 12:00:00,22.75735066542848
2013-01-16 12:00:00,13.225843392138492
2013-02-15 00:00:00,40.99597647787045
2013-03-16 12:00:00,48.461652739089885
2013-04-16 00:00:00,4.538006809037279
2013-05-16 12:00:00,29.33769730733501
2013-06-16 00:00:00,102.66168368926012
2013-07-16 12:00:00,42.50897554936534
2013-08-16 12:00:00,26.139678118229472
2013-09-16 00:00:00,41.94466109563585
2013-10-16 12:00:00,13.204302073661218
2013-11-16 00:00:00,27.79758588672219
2013-12-16 12:00:00,21.77653977096856
2014-01-16 12:00:00,26.240947075208723
2014-02-15 00:00:00,44.64815846487137
2014-03-16 12:00:00,83.73865676261201
2014-04-16 00:00:00,46.914329928814425
2014-05-16 12:00:00,36.215258433921214
2014-06-16 00:00:00,62.081367997523806
2014-07-16 12:00:00,23.690962550293847
2014-08-16 12:00:00,27.163974001856825
2014-09-16 00:00:00,25.768492726709816
2014-10-16 12:00:00,22.60894459919512
2014-11-16 00:00:00,19.432281027545468
2014-12-16 12:00:00,64.05459610027837
2015-01-16 12:00:00,75.47493036211681
2015-02-15 00:00:00,24.228752708139712
2015-03-16 12:00:00,5.145868152274711
2015-04-16 00:00:00,72.72497678737214
2015-05-16 12:00:00,25.11281337047336
2015-06-16 00:00:00,44.88192510058787
2015-07-16 12:00:00,72.72423398328672
2015-08-16 12:00:00,57.824543484988986
2015-09-16 00:00:00,14.087310430207188
2015-10-16 12:00:00,27.3133395233672
2015-11-16 00:00:00,69.05075827917035
2015-12-16 12:00:00,31.37774682760737
2016-01-16 12:00:00,73.41652739090047
2016-02-15 12:00:00,5.22989786443811
2016-03-16 12:00:00,23.67366140513755
2016-04-16 00:00:00,23.677468276075334
2016-05-16 12:00:00,76.88464871556775
2016-06-16 00:00:00,132.320024760136
2016-07-16 12:00:00,73.9148870318785
2016-08-16 12:00:00,53.84791086350957
2016-09-16 00:00:00,153.88164654905583
2016-10-16 12:00:00,49.48211080160922
2016-11-16 00:00:00,35.35933147632294
2016-12-16 12:00:00,53.79582172701932
2017-01-16 12:00:00,20.654998452491306
2017-02-15 00:00:00,10.447632311977536
2017-03-16 12:00:00,74.93441658929106
2017-04-16 00:00:00,27.493160012379885
2017-05-16 12:00:00,37.67941813679957
2017-06-16 00:00:00,3.5919220055708565
2017-07-16 12:00:00,20.53450943980173
2017-08-16 12:00:00,38.18895078922916
2017-09-16 00:00:00,8.185979572887499
2017-10-16 12:00:00,49.873135252243706
2017-11-16 00:00:00,46.84113277623009
2017-12-16 12:00:00,101.49439801918894
2018-01-16 12:00:00,30.979696688331604
2018-02-15 00:00:00,22.80838749613105
2018-03-16 12:00:00,3.076106468585424
2018-04-16 00:00:00,6.24831321572251
2018-05-16 12:00:00,24.28570102135544
2018-06-16 00:00:00,38.71408232745262
2018-07-16 12:00:00,6.897585886722202
2018-08-16 12:00:00,16.93958526771879
2018-09-16 00:00:00,14.45208913649007
2018-10-16 12:00:00,36.88464871556775
2018-11-16 00:00:00,62.58121324667268
2018-12-16 12:00:00,32.75564840606605
2019-01-16 12:00:00,38.67208294645602
2019-02-15 00:00:00,28.74834416589273
2019-03-16 12:00:00,42.40591148251298
2019-04-16 00:00:00,10.314577530176273
2019-05-16 12:00:00,37.50532342927868
2019-06-16 00:00:00,29.16412875270796
2019-07-16 12:00:00,16.849303621169735
2019-08-16 12:00:00,14.74333023831613
2019-09-16 00:00:00,15.812813370473352
2019-10-16 12:00:00,6.02104611575347
2019-11-16 00:00:00,23.3621479418135
2019-12-16 12:00:00,6.695574125657509
2020-01-16 12:00:00,22.43974001856992
2020-02-15 12:00:00,64.0533271432991
2020-03-16 12:00:00,69.53472609099332
2020-04-16 00:00:00,114.61590838749596
2020-05-16 12:00:00,27.76595481275129
2020-06-16 00:00:00,41.5928195605074
2020-07-16 12:00:00,46.43593314763213
2020-08-16 12:00:00,71.56700711853897
2020-09-16 00:00:00,39.71782729804996
2020-10-16 12:00:00,79.70024760136162
2020-11-16 00:00:00,34.912318167749746
2020-12-16 12:00:00,35.09356236459282
2021-01-16 12:00:00,92.50900649953556
2021-02-15 00:00:00,59.1731352522437
2021-03-16 12:00:00,110.37177344475376
2021-04-16 00:00:00,0.6574435159392609
2021-05-16 12:00:00,29.2359021974619
2021-06-16 00:00:00,85.60337356855445
2021-07-16 12:00:00,64.15530795419356
2021-08-16 12:00:00,38.358619622407744
2021-09-16 00:00:00,64.96626431445355
2021-10-16 12:00:00,41.25051067780856
2021-11-16 00:00:00,152.45304859176707
2021-12-16 12:00:00,43.59962859795711
