low_spell_id,start_date,end_date,duration_months,baseline_extent_pct,min_extent_pct
1,2005-01-01,2005-10-01,10,0.283671,0.039796
2,2005-12-01,2010-06-01,55,0.283671,0.036118
3,2014-04-01,2014-05-01,2,0.283671,0.199358
4,2014-12-01,2015-06-01,7,0.283671,0.089057
5,2015-12-01,2016-05-01,6,0.283671,0.099337
6,2018-12-01,2020-04-01,17,0.283671,0.045946
