catchment,comparison,date,extent_pct_before,invalid_pct_before,usable_month_before,reference_median_pct_before,anomaly_pct_before,condition_percentile_before,quality_state_before,hy_year_before,confidence_before,phase_before,is_hy_peak_before,is_hy_trough_before,in_wet_event_before,wet_event_id_before,in_low_spell_before,low_spell_id_before,regime_before,route_before,extent_pct_after,invalid_pct_after,usable_month_after,reference_median_pct_after,anomaly_pct_after,condition_percentile_after,quality_state_after,hy_year_after,confidence_after,phase_after,is_hy_peak_after,is_hy_trough_after,in_wet_event_after,wet_event_id_after,in_low_spell_after,low_spell_id_after,regime_after,route_after,_merge
daly_river_nt,old_default_vs_new_default,2006-04-01,0.9383397513796208,3.2972829359295366,True,0.2395981059375724,0.6987416454420485,100.0,usable,2006.0,high,rising,True,False,True,2.0,False,,seasonal,per_year_detection,0.9383397513796208,3.2972829359295366,True,0.2395981059375724,0.6987416454420485,100.0,usable,2006.0,high,rising,True,False,True,2.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-05-01,0.3060279559458235,1.9292076162023617,True,0.1918789347204079,0.1141490212254155,95.0,usable,2006.0,high,receding,False,False,True,2.0,False,,seasonal,per_year_detection,0.3060279559458235,1.9292076162023617,True,0.1918789347204079,0.1141490212254155,95.0,usable,2006.0,high,receding,False,False,True,2.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-06-01,0.2549691919075856,1.925387670227782,True,0.2043228575118748,0.0506463343957108,95.0,usable,2006.0,high,receding,False,False,True,2.0,False,,seasonal,per_year_detection,0.2549691919075856,1.925387670227782,True,0.2043228575118748,0.0506463343957108,95.0,usable,2006.0,high,receding,False,False,True,2.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-07-01,0.2149612016663162,1.9344982907304615,True,0.1845618424963381,0.0303993591699781,85.0,usable,2006.0,high,receding,False,False,True,2.0,False,,seasonal,per_year_detection,0.2149612016663162,1.9344982907304615,True,0.1845618424963381,0.0303993591699781,85.0,usable,2006.0,high,receding,False,False,True,2.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-08-01,0.1831835221693631,1.9338089895403887,True,0.1611600049104934,0.0220235172588697,85.0,usable,2006.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,0.1831835221693631,1.9338089895403887,True,0.1611600049104934,0.0220235172588697,85.0,usable,2006.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-09-01,0.1558000486516531,1.945969644425873,True,0.1429758473226877,0.0128242013289654,95.0,usable,2006.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,0.1558000486516531,1.945969644425873,True,0.1429758473226877,0.0128242013289654,95.0,usable,2006.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-10-01,0.1257484253387724,1.9410441843707944,True,0.13388042442049,-0.0081319990817176,25.0,usable,2006.0,high,receding,False,False,False,,True,2.0,seasonal,per_year_detection,0.1257484253387724,1.9410441843707944,True,0.13388042442049,-0.0081319990817176,25.0,usable,2006.0,high,receding,False,False,False,,True,2.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-11-01,0.1285220935639087,2.4457327485514804,True,0.1253547262155085,0.0031673673484001,65.0,usable,2006.0,high,receding,False,False,False,,True,2.0,seasonal,per_year_detection,0.1285220935639087,2.4457327485514804,True,0.1253547262155085,0.0031673673484001,65.0,usable,2006.0,high,receding,False,False,False,,True,2.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2006-12-01,0.1140192712165744,5.309608101838904,True,0.1633832293360736,-0.0493639581194992,10.0,usable,2006.0,high,receding,False,True,False,,True,2.0,seasonal,per_year_detection,0.1140192712165744,5.309608101838904,True,0.1633832293360736,-0.0493639581194992,10.0,usable,2006.0,high,receding,False,True,False,,True,2.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-01-01,0.4099819138364696,49.861248112236,True,0.232649004359559,0.1773329094769106,60.0,low,2007.0,high,rising,False,False,True,3.0,False,,seasonal,per_year_detection,0.4099819138364696,49.861248112236,True,0.232649004359559,0.1773329094769106,60.0,low,2007.0,high,rising,False,False,True,3.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-02-01,0.1396572761352884,8.379260424241028,True,0.4426915538200854,-0.303034277684797,5.0,usable,2007.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,0.1396572761352884,8.379260424241028,True,0.4426915538200854,-0.303034277684797,5.0,usable,2007.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-03-01,0.4377423801126308,18.360899348865367,True,0.2765672652532488,0.161175114859382,75.0,usable,2007.0,high,rising,True,False,True,4.0,False,,seasonal,per_year_detection,0.4377423801126308,18.360899348865367,True,0.2765672652532488,0.161175114859382,75.0,usable,2007.0,high,rising,True,False,True,4.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-04-01,0.2969934053745857,1.927649696806183,True,0.2395981059375724,0.0573952994370133,75.0,usable,2007.0,high,receding,False,False,True,4.0,False,,seasonal,per_year_detection,0.2969934053745857,1.927649696806183,True,0.2395981059375724,0.0573952994370133,75.0,usable,2007.0,high,receding,False,False,True,4.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-05-01,0.212029516434456,2.135774238231704,True,0.1918789347204079,0.020150581714048,70.0,usable,2007.0,high,receding,False,False,True,4.0,False,,seasonal,per_year_detection,0.212029516434456,2.135774238231704,True,0.1918789347204079,0.020150581714048,70.0,usable,2007.0,high,receding,False,False,True,4.0,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-06-01,0.195082391444743,8.698681608654596,True,0.2148482324342259,-0.0197658409894828,35.0,usable,2007.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,0.195082391444743,8.698681608654596,True,0.2148482324342259,-0.0197658409894828,35.0,usable,2007.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-07-01,0.183283196954129,1.9261049382919149,True,0.1857549788573076,-0.0024717819031786,35.0,usable,2007.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,0.183283196954129,1.9261049382919149,True,0.1857549788573076,-0.0024717819031786,35.0,usable,2007.0,high,receding,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-08-01,0.1470194610345502,1.9319582405216973,True,0.1622104841398542,-0.0151910231053039,20.0,usable,2007.0,high,receding,False,False,False,,True,3.0,seasonal,per_year_detection,0.1470194610345502,1.9319582405216973,True,0.1622104841398542,-0.0151910231053039,20.0,usable,2007.0,high,receding,False,False,False,,True,3.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-09-01,0.1391741907519589,1.9263911874734725,True,0.1432960741163559,-0.0041218833643969,30.0,usable,2007.0,high,receding,False,False,False,,True,3.0,seasonal,per_year_detection,0.1391741907519589,1.9263911874734725,True,0.1432960741163559,-0.0041218833643969,30.0,usable,2007.0,high,receding,False,False,False,,True,3.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-10-01,0.1127879871050923,9.325517962958696,True,0.13388042442049,-0.0210924373153977,5.0,usable,2007.0,high,receding,False,True,False,,True,3.0,seasonal,per_year_detection,0.1127879871050923,9.325517962958696,True,0.13388042442049,-0.0210924373153977,5.0,usable,2007.0,high,receding,False,True,False,,True,3.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-11-01,0.1334958639129889,16.836176632196125,True,0.1253547262155085,0.0081411376974804,95.0,usable,2008.0,high,rising,False,False,False,,True,3.0,seasonal,per_year_detection,0.1334958639129889,16.836176632196125,True,0.1253547262155085,0.0081411376974804,95.0,usable,2008.0,high,rising,False,False,False,,True,3.0,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2007-12-01,0.1517368167756269,38.3130348664664,True,0.1633832293360736,-0.0116464125604467,40.0,low,2008.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,0.1517368167756269,38.3130348664664,True,0.1633832293360736,-0.0116464125604467,40.0,low,2008.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2008-01-01,0.2693046347204301,20.36838295534184,True,0.2723816336102124,-0.0030769988897823,50.0,low,2008.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,0.2693046347204301,20.36838295534184,True,0.2723816336102124,-0.0030769988897823,50.0,low,2008.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2008-02-01,0.080670324900802,39.18398419378082,True,0.4426915538200854,-0.3620212289192833,0.0,low,2008.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,0.080670324900802,39.18398419378082,True,0.4426915538200854,-0.3620212289192833,0.0,low,2008.0,high,rising,False,False,False,,False,,seasonal,per_year_detection,both
daly_river_nt,old_default_vs_new_default,2008-03-01,1.084287751430856,2.143738216897914,True,0.2765672652532488,0.8077204861776072,85.0,usable,2008.0,high,rising,True,False,True,5.0,False,,seasonal,per_year_detection,1.084287751430856,2.143738216897914,True,0.2765672652532488,0.8077204861776072,85.0,usable,2008.0,high,rising,True,False,True,5.0,False,,seasonal,per_year_detection,both
