catchment,hy_year,scenario,injected_floor_pp,published_boundary,published_refinement_reason,status,reason,boundary,boundary_candidates,low_state_start,low_state_end,recovery_start,pulse_months,local_scale_pp,best_loss,effective_support,policy_version,loss_basis
daly_river_nt,2019,record_floor_sensitivity_only,0.0222601039762857,2019-11-01,interval_peak,provisional,interval_peak,2019-11-01,"(Timestamp('2019-08-01 00:00:00'), Timestamp('2019-09-01 00:00:00'), Timestamp('2019-10-01 00:00:00'), Timestamp('2019-11-01 00:00:00'), Timestamp('2019-12-01 00:00:00'))",2019-11-01,2019-11-01,2019-12-01,(),0.0222601039762857,0.3465033273057423,9.736998841842391,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2020,existing,0.0,2020-11-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2021-01-01 00:00:00'),)",2021-01-01,2021-01-01,,"(Timestamp('2020-10-01 00:00:00'), Timestamp('2020-12-01 00:00:00'))",1.6822518639330944e-06,65247.35899264363,12.1699304118369,trough_refinement_candidate_0_2,standardized_huber
daly_river_nt,2020,record_floor_sensitivity_only,0.0222601039762857,2020-11-01,unstable_quality_sensitivity,unresolved,unstable_quality_sensitivity,,"(Timestamp('2021-01-01 00:00:00'),)",2021-01-01,2021-01-01,,"(Timestamp('2020-12-01 00:00:00'),)",0.0222601039762857,3.7911337607517694,12.1699304118369,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2005,existing,0.0,2005-11-01,low_quality_peak,provisional,low_quality_peak,2005-11-01,"(Timestamp('2005-10-01 00:00:00'), Timestamp('2005-11-01 00:00:00'))",2005-10-01,2005-11-01,,(),9.520978800798064e-07,4296.140511566211,8.710295237333566,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2005,record_floor_sensitivity_only,0.0148253438173371,2005-11-01,low_quality_peak,provisional,low_quality_peak,2005-11-01,"(Timestamp('2005-07-01 00:00:00'), Timestamp('2005-08-01 00:00:00'), Timestamp('2005-09-01 00:00:00'), Timestamp('2005-10-01 00:00:00'), Timestamp('2005-11-01 00:00:00'))",2005-10-01,2005-11-01,,(),0.0148253438173371,0.01083516563758044,8.710295237333566,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2006,existing,0.0,2006-10-01,low_quality_peak,provisional,low_quality_peak,2006-10-01,"(Timestamp('2006-10-01 00:00:00'),)",2006-10-01,2006-10-01,2006-11-01,"(Timestamp('2006-03-01 00:00:00'),)",9.526924555941472e-07,466647.5775862839,13.523912954516444,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2006,record_floor_sensitivity_only,0.0148253438173371,2006-10-01,low_quality_peak,provisional,low_quality_peak,2006-10-01,"(Timestamp('2006-09-01 00:00:00'), Timestamp('2006-10-01 00:00:00'), Timestamp('2006-11-01 00:00:00'), Timestamp('2006-12-01 00:00:00'))",2006-10-01,2006-10-01,2006-11-01,"(Timestamp('2006-03-01 00:00:00'),)",0.0148253438173371,26.897659717273548,13.523912954516444,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2007,existing,0.0,2007-11-01,low_quality_peak,provisional,low_quality_peak,2007-11-01,"(Timestamp('2007-10-01 00:00:00'), Timestamp('2007-11-01 00:00:00'))",2007-10-01,2007-11-01,,(),9.58557687059008e-07,8109.4861928181745,8.384624326387728,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2007,record_floor_sensitivity_only,0.0148253438173371,2007-11-01,low_quality_peak,provisional,low_quality_peak,2007-11-01,"(Timestamp('2007-09-01 00:00:00'), Timestamp('2007-10-01 00:00:00'), Timestamp('2007-11-01 00:00:00'))",2007-10-01,2007-11-01,,(),0.0148253438173371,0.040458418101915375,8.384624326387728,trough_refinement_candidate_0_2,standardized_huber
fitzroy_river_wa,2008,existing,0.0,2008-11-01,low_quality_peak,provisional,low_quality_peak,2008-11-01,"(Timestamp('2008-11-01 00:00:00'),)",2008-11-01,2008-11-01,2008-12-01,"(Timestamp('2008-06-01 00:00:00'),)",9.536353097739829e-07,28588.07939732552,12.163784981858182,trough_refinement_candidate_0_2,standardized_huber
