event_id,start_date,end_date,duration_months,baseline_extent_pct,peak_date,peak_extent_pct,mean_extent_pct,magnitude_pp_months
1,2006-01-01,2006-04-01,4,0.067121,2006-01-01,0.668444,0.397323,1.238244
2,2007-03-01,2007-04-01,2,0.067121,2007-03-01,0.256767,0.242761,0.309998
3,2008-02-01,2008-04-01,3,0.067121,2008-02-01,0.238112,0.181393,0.280892
4,2009-01-01,2009-05-01,5,0.067121,2009-02-01,1.100415,0.348548,1.303928
5,2010-01-01,2010-03-01,3,0.067121,2010-01-01,0.154802,0.118429,0.092001
6,2011-01-01,2011-08-01,8,0.067121,2011-03-01,3.651186,0.658762,4.567994
7,2012-01-01,2012-04-01,4,0.067121,2012-03-01,0.262824,0.178345,0.362332
8,2013-03-01,2013-03-01,1,0.067121,2013-03-01,0.164452,0.164452,0.07669
9,2014-02-01,2014-04-01,3,0.067121,2014-02-01,0.773594,0.345306,0.772632
10,2015-01-01,2015-04-01,4,0.067121,2015-01-01,0.294296,0.183174,0.381646
11,2017-01-01,2017-07-01,7,0.067121,2017-02-01,2.389094,0.696665,4.262316
12,2018-01-01,2018-06-01,6,0.067121,2018-02-01,0.661975,0.247274,0.957071
13,2020-01-01,2020-06-01,6,0.067121,2020-03-01,0.348544,0.171031,0.499613
14,2020-12-01,2021-07-01,8,0.067121,2021-03-01,0.988434,0.387809,2.400375
15,2022-02-01,2022-04-01,3,0.067121,2022-02-01,0.519378,0.304425,0.649989
16,2022-12-01,2023-08-01,9,0.067121,2023-01-01,1.287182,0.398743,2.798829
17,2024-02-01,2024-05-01,4,0.067121,2024-03-01,0.405742,0.208256,0.481976
18,2025-01-01,2025-06-01,6,0.067121,2025-01-01,0.239349,0.187708,0.599673
